C:\Users\AEAE\Desktop\DSS\Scripts\python3.exe "D:\Git\DSS\DSSProj\Logistic Regression\LogisticReg.py"
C:\Users\AEAE\Desktop\DSS\lib\site-packages\sklearn\linear_model\logistic.py:433: FutureWarning: Default solver will be changed to 'lbfgs' in 0.22. Specify a solver to silence this warning.
  FutureWarning)
C:\Users\AEAE\Desktop\DSS\lib\site-packages\sklearn\linear_model\logistic.py:460: FutureWarning: Default multi_class will be changed to 'auto' in 0.22. Specify the multi_class option to silence this warning.
  "this warning.", FutureWarning)
1-   Print Accuracy only
2-   Print Predictions & Accuracy
Select your Option: 2
[ 0 ]predicted:  5 , Actual result:  5 Y
[ 1 ]predicted:  7 , Actual result:  7 Y
[ 2 ]predicted:  0 , Actual result:  0 Y
[ 3 ]predicted:  1 , Actual result:  1 Y
[ 4 ]predicted:  1 , Actual result:  1 Y
[ 5 ]predicted:  6 , Actual result:  6 Y
[ 6 ]predicted:  9 , Actual result:  9 Y
[ 7 ]predicted:  9 , Actual result:  5 N
[ 8 ]predicted:  5 , Actual result:  5 Y
[ 9 ]predicted:  7 , Actual result:  7 Y
[ 10 ]predicted:  1 , Actual result:  1 Y
[ 11 ]predicted:  7 , Actual result:  7 Y
[ 12 ]predicted:  6 , Actual result:  6 Y
[ 13 ]predicted:  7 , Actual result:  7 Y
[ 14 ]predicted:  4 , Actual result:  4 Y
[ 15 ]predicted:  4 , Actual result:  4 Y
[ 16 ]predicted:  1 , Actual result:  1 Y
[ 17 ]predicted:  8 , Actual result:  8 Y
[ 18 ]predicted:  6 , Actual result:  6 Y
[ 19 ]predicted:  7 , Actual result:  7 Y
[ 20 ]predicted:  8 , Actual result:  8 Y
[ 21 ]predicted:  3 , Actual result:  3 Y
[ 22 ]predicted:  1 , Actual result:  1 Y
[ 23 ]predicted:  6 , Actual result:  6 Y
[ 24 ]predicted:  5 , Actual result:  5 Y
[ 25 ]predicted:  1 , Actual result:  1 Y
[ 26 ]predicted:  7 , Actual result:  7 Y
[ 27 ]predicted:  1 , Actual result:  1 Y
[ 28 ]predicted:  9 , Actual result:  9 Y
[ 29 ]predicted:  2 , Actual result:  2 Y
[ 30 ]predicted:  9 , Actual result:  9 Y
[ 31 ]predicted:  3 , Actual result:  3 Y
[ 32 ]predicted:  0 , Actual result:  0 Y
[ 33 ]predicted:  5 , Actual result:  5 Y
[ 34 ]predicted:  1 , Actual result:  1 Y
[ 35 ]predicted:  4 , Actual result:  4 Y
[ 36 ]predicted:  7 , Actual result:  7 Y
[ 37 ]predicted:  4 , Actual result:  4 Y
[ 38 ]predicted:  6 , Actual result:  6 Y
[ 39 ]predicted:  9 , Actual result:  9 Y
[ 40 ]predicted:  7 , Actual result:  9 N
[ 41 ]predicted:  9 , Actual result:  9 Y
[ 42 ]predicted:  4 , Actual result:  4 Y
[ 43 ]predicted:  6 , Actual result:  6 Y
[ 44 ]predicted:  4 , Actual result:  4 Y
[ 45 ]predicted:  5 , Actual result:  5 Y
[ 46 ]predicted:  3 , Actual result:  3 Y
[ 47 ]predicted:  5 , Actual result:  5 Y
[ 48 ]predicted:  1 , Actual result:  1 Y
[ 49 ]predicted:  1 , Actual result:  1 Y
[ 50 ]predicted:  1 , Actual result:  8 N
[ 51 ]predicted:  6 , Actual result:  6 Y
[ 52 ]predicted:  4 , Actual result:  4 Y
[ 53 ]predicted:  4 , Actual result:  4 Y
[ 54 ]predicted:  3 , Actual result:  3 Y
[ 55 ]predicted:  5 , Actual result:  5 Y
[ 56 ]predicted:  3 , Actual result:  3 Y
[ 57 ]predicted:  2 , Actual result:  2 Y
[ 58 ]predicted:  0 , Actual result:  0 Y
[ 59 ]predicted:  0 , Actual result:  0 Y
[ 60 ]predicted:  7 , Actual result:  7 Y
[ 61 ]predicted:  0 , Actual result:  0 Y
[ 62 ]predicted:  4 , Actual result:  4 Y
[ 63 ]predicted:  8 , Actual result:  8 Y
[ 64 ]predicted:  1 , Actual result:  2 N
[ 65 ]predicted:  7 , Actual result:  7 Y
[ 66 ]predicted:  8 , Actual result:  8 Y
[ 67 ]predicted:  3 , Actual result:  3 Y
[ 68 ]predicted:  1 , Actual result:  1 Y
[ 69 ]predicted:  8 , Actual result:  8 Y
[ 70 ]predicted:  6 , Actual result:  6 Y
[ 71 ]predicted:  7 , Actual result:  7 Y
[ 72 ]predicted:  4 , Actual result:  4 Y
[ 73 ]predicted:  6 , Actual result:  6 Y
[ 74 ]predicted:  4 , Actual result:  4 Y
[ 75 ]predicted:  4 , Actual result:  4 Y
[ 76 ]predicted:  2 , Actual result:  2 Y
[ 77 ]predicted:  1 , Actual result:  1 Y
[ 78 ]predicted:  8 , Actual result:  8 Y
[ 79 ]predicted:  9 , Actual result:  9 Y
[ 80 ]predicted:  3 , Actual result:  3 Y
[ 81 ]predicted:  3 , Actual result:  2 N
[ 82 ]predicted:  3 , Actual result:  3 Y
[ 83 ]predicted:  5 , Actual result:  5 Y
[ 84 ]predicted:  5 , Actual result:  5 Y
[ 85 ]predicted:  7 , Actual result:  7 Y
[ 86 ]predicted:  4 , Actual result:  4 Y
[ 87 ]predicted:  4 , Actual result:  4 Y
[ 88 ]predicted:  6 , Actual result:  6 Y
[ 89 ]predicted:  4 , Actual result:  4 Y
[ 90 ]predicted:  0 , Actual result:  0 Y
[ 91 ]predicted:  5 , Actual result:  5 Y
[ 92 ]predicted:  3 , Actual result:  3 Y
[ 93 ]predicted:  5 , Actual result:  5 Y
[ 94 ]predicted:  2 , Actual result:  2 Y
[ 95 ]predicted:  5 , Actual result:  5 Y
[ 96 ]predicted:  3 , Actual result:  3 Y
[ 97 ]predicted:  6 , Actual result:  6 Y
[ 98 ]predicted:  6 , Actual result:  6 Y
[ 99 ]predicted:  2 , Actual result:  2 Y
[ 100 ]predicted:  5 , Actual result:  5 Y
[ 101 ]predicted:  5 , Actual result:  5 Y
[ 102 ]predicted:  9 , Actual result:  9 Y
[ 103 ]predicted:  3 , Actual result:  3 Y
[ 104 ]predicted:  7 , Actual result:  7 Y
[ 105 ]predicted:  8 , Actual result:  8 Y
[ 106 ]predicted:  1 , Actual result:  1 Y
[ 107 ]predicted:  6 , Actual result:  6 Y
[ 108 ]predicted:  1 , Actual result:  1 Y
[ 109 ]predicted:  1 , Actual result:  1 Y
[ 110 ]predicted:  0 , Actual result:  0 Y
